time,open,high,low,close,volume
2022-10-21 20:00:00,130.2,130.45,130.2,130.32,2317
2022-10-21 19:55:00,130.21,130.38,130.2,130.3,1891
2022-10-21 19:50:00,130.38,130.38,130.3,130.32,1482
2022-10-21 19:45:00,130.4,130.4,130.33,130.39,1542
2022-10-21 19:40:00,130.36,130.4,130.35,130.4,1634
2022-10-21 19:35:00,130.38,130.39,130.38,130.39,723
2022-10-21 19:30:00,130.43,130.43,130.4,130.4,511
2022-10-21 19:25:00,130.38,130.39,130.34,130.34,1912
2022-10-21 19:20:00,130.39,130.39,130.36,130.37,527
2022-10-21 19:15:00,130.27,130.33,130.27,130.33,1878
2022-10-21 19:10:00,130.28,130.28,130.27,130.28,2207
2022-10-21 19:05:00,130.28,130.28,130.27,130.27,2982
2022-10-21 19:00:00,130.21,130.23,130.1999,130.22,4964
2022-10-21 18:55:00,130.2,130.2,130.1999,130.1999,303
2022-10-21 18:50:00,130.16,130.16,130.16,130.16,333
2022-10-21 18:45:00,130.05,130.1,130.05,130.1,1059
2022-10-21 18:40:00,130.1,130.1,130.1,130.1,2283
2022-10-21 18:30:00,130.09,130.09,130.06,130.06,767
2022-10-21 18:25:00,130.16,130.16,130.1,130.1,348
2022-10-21 18:20:00,130.14,130.16,130.14,130.15,3911
2022-10-21 18:10:00,130.14,130.14,130.14,130.14,1630
2022-10-21 18:05:00,130.14,130.14,130.14,130.14,111
2022-10-21 17:55:00,130.15,130.15,130.08,130.08,905
2022-10-21 17:50:00,130.01,130.06,130.01,130.06,397
2022-10-21 17:45:00,130.06,130.06,130.01,130.02,1114
2022-10-21 17:40:00,130.09,130.1,130.09,130.1,1600
2022-10-21 17:35:00,130.05,130.06,130.0,130.06,1441
2022-10-21 17:30:00,130.0,130.05,130.0,130.05,910
2022-10-21 17:25:00,130.02,130.05,130.01,130.01,1505
2022-10-21 17:20:00,130.06,130.06,130.02,130.02,800
2022-10-21 17:15:00,130.06,130.09,130.06,130.07,1091
2022-10-21 17:10:00,130.01,130.06,130.01,130.01,36483
2022-10-21 17:05:00,130.0,130.0,130.0,130.0,267
