time,open,high,low,close,volume
2022-10-21 20:00:00,232.62,232.62,232.62,232.62,100
2022-10-21 18:30:00,231.8,231.8,231.8,231.8,248
2022-10-21 17:55:00,230.0,230.0,230.0,230.0,112
2022-10-21 16:05:00,232.62,232.62,228.01,228.01,1120
2022-10-21 16:00:00,233.51,233.675,232.28,232.47,24899
2022-10-21 15:55:00,233.305,233.53,232.64,233.405,12850
2022-10-21 15:50:00,233.855,233.86,233.2,233.25,10553
2022-10-21 15:45:00,234.29,234.43,233.49,233.74,20129
2022-10-21 15:40:00,232.0301,233.9532,232.0301,233.9532,9972
2022-10-21 15:35:00,232.02,232.63,231.7,231.73,4546
2022-10-21 15:30:00,232.19,232.2899,231.86,231.86,1758
2022-10-21 15:25:00,231.03,232.115,231.03,231.44,7006
2022-10-21 15:20:00,230.71,230.97,230.58,230.97,1943
2022-10-21 15:15:00,230.0,230.27,229.71,229.99,2744
2022-10-21 15:05:00,229.12,229.97,229.07,229.63,2104
2022-10-21 15:00:00,228.0,228.0,228.0,228.0,234
2022-10-21 14:55:00,228.91,228.91,228.91,228.91,824
2022-10-21 14:45:00,229.43,229.43,228.78,228.78,1016
2022-10-21 14:40:00,229.705,230.55,229.705,230.15,548
2022-10-21 14:35:00,230.0,230.0,230.0,230.0,216
2022-10-21 14:30:00,229.95,229.95,229.0576,229.75,2221
2022-10-21 14:25:00,230.11,230.11,229.78,229.78,1989
2022-10-21 14:20:00,230.25,230.25,230.2045,230.2045,672
2022-10-21 14:15:00,231.58,231.685,231.45,231.45,3830
2022-10-21 14:10:00,231.72,231.72,231.5,231.665,1433
2022-10-21 14:05:00,231.39,231.87,231.39,231.87,2398
2022-10-21 14:00:00,230.89,231.28,230.32,231.17,13059
2022-10-21 13:55:00,230.58,231.73,230.5,230.5,7270
2022-10-21 13:50:00,231.0,231.48,230.3201,231.48,1913
2022-10-21 13:45:00,230.4,231.83,230.4,231.67,8035
2022-10-21 13:40:00,229.53,230.03,229.11,229.97,8535
2022-10-21 13:35:00,229.85,230.48,229.59,229.85,3440
2022-10-21 13:30:00,229.0,230.0,228.52,229.76,10287
